#NAME	AIH049	AIH050	AIH051	AIH053	AIH054	AIH055	AIH056	AIH057	AIH060	AIH061	AIH062	AIH063	AIH064	AIH065	AIH066	AIH076	AIH081	AIH082	AIH083	AIH001	AIH002	AIH003	AIH005	AIH006	AIH007	AIH009	AIH020	AIH021	AIH022	AIH026	AIH029	AIH030	AIH032	AIH036	AIH037	AIH039	AIH042	AIH070	AIH074	AIH077
Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; Granulicatella_adiacens	22	2	4	35	16	1	10	13	15	2	42	12	165	7	2	18	8	0	0	81	18	64	38	10	3	6	213	264	1	0	52	15	1	6	40	51	1	5	88	1
Bacteria; Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1536|NN=Eubacterium_ventriosum_EUBRRDAB|D=95.6	48	27	51	75	31	23	767	114	72	9	95	93	94	22	62	0	644	1	2	121	317	207	24	0	0	0	0	0	0	22	0	0	0	0	0	0	221	1240	0	0
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU303|NN=Eggerthella_lenta_AF292375|D=87.9	0	0	0	0	45	0	20	0	0	0	3	18	17	2	20	0	0	0	58	2	6	2	11	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Roseburia	829	48	42	662	45	7	264	245	125	1	17	769	160	74	174	0	58	21	8	60	2	694	13	84	0	27	0	548	0	26	0	24	1	2	359	986	7	88	0	2
Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella_aerofaciens	341	16	83	303	63	10	34	7	3	399	51	33	507	56	0	0	6	0	53	24	10	37	6	20	0	9	1648	1	6	113	674	69	0	1	0	28	4103	255	56	20
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU160|NN=Intestinimonas_butyriciproducens_JX101685.1|D=91.4	3186	360	396	146	2	374	16	1	371	384	90	17	630	314	0	0	222	0	852	115	162	0	163	16	0	193	0	3	11	0	0	897	6	0	0	925	0	1170	0	545
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Paraprevotella; Paraprevotella_clara	0	0	0	2832	2	0	5	1	4	0	0	0	1	0	0	0	0	0	0	96	0	0	0	19	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	381
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU480|NN=Butyrivibrio_crossotus_FR733670|D=85.8	103	99	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0	107	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Akkermansia; Akkermansia_muciniphila	19	6615	1378	185	12890	31	60	2108	2084	561	2002	598	287	110	1197	6	0	3	1938	7	16	13	3903	9	16	1	1	8	15	0	3	141	13	0	6	8	3921	6	4	9123
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Sutterellaceae; unclassified; OTU228|NN=Sutterella_parvirubra_AB300989|D=92.9	0	0	0	0	0	0	0	1	0	0	0	0	235	0	0	0	0	0	0	70	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Massilia; OTU24|NN=Massilia_aurea_AM231588|D=96.2	2	16	42	70	48	1	8	155	13	3	27	28	39	42	8	26	2	4	2	40	16	10	5	22	5	25	1	26	3	9	0	11	6	2	6	15	3	102	21	19
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; Barnesiella_intestinihominis	8	0	17	110	2	0	181	2	380	87	21	10	0	236	0	0	1	0	0	53	4	2	238	24	0	0	0	0	0	6	0	0	0	40	0	0	219	0	0	0
Bacteria; Proteobacteria; Deltaproteobacteria; Desulfovibrionales; Desulfovibrionaceae; Desulfovibrio; Desulfovibrio_fairfieldensis	0	2	0	1	1	0	0	41	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria; Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; unclassified	494	119	114	219	37	17	47	41	99	15	23	328	6	11	49	347	197	0	179	27	79	193	75	10	0	14	257	801	4	0	1	70	0	20	4	110	16	64	0	5
Bacteria; Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella	0	4	3	4	4	0	6	5	0	0	5	0	1	3	0	0	0	0	0	2	0	0	15	9	3	9545	0	49	123	0	32	8736	0	0	0	1	0	0	0	0
Bacteria; Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU286|NN=Ruminococcus_bromii_DQ882649|D=96.6	3	21	23	38	40	7	6	6	20	25	0	5	113	21	53	0	8	8	20	55	1	8	29	0	0	0	3	0	0	0	0	59	0	0	0	0	176	13	0	26
Bacteria; Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU107|NN=Blautia_glucerasea_AB588023|D=95.6	2360	8	10	20	17	53	100	17	9	119	23	565	18	44	34	0	6	55	23	48	13	10	8	12	0	12	0	1	1	1	0	69	28	33	577	18	38	7	35	9
Bacteria; Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92.5	1313	841	223	5	1	105	901	1809	2	300	726	2	726	669	0	1	4056	2	36	87	1319	147	236	642	0	0	1	10	29	1	11	2764	4	1149	0	5	0	1029	0	0
Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Bradyrhizobium	0	0	0	0	0	2	0	0	0	0	0	31	0	0	0	3	1	0	0	5	0	2	0	0	0	0	2	6	2	1	0	2	0	0	5	0	0	0	0	0
