"name";"cor";"pval";"p.adj";"species";"genus";"type";"is.sig"
"704";"OTU_1903";-0.0785401627432273;0.735061208767622;1;"s__callidus";"g__Ruminococcus";"control";""
"707";"OTU_1599";0.00912298400986086;0.968693133738346;1;"s__massiliensis";"g__Alistipes";"control";""
"708";"OTU_2570";-0.116539619835137;0.61491514993337;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"715";"OTU_4176";0.409740250097368;0.0650895639119609;1;"s__adolescentis";"g__Bifidobacterium";"control";""
"716";"OTU_1857";-0.105368448341818;0.649425138007741;1;"s__uniformis";"g__Bacteroides";"control";""
"717";"OTU_2180";-0.25966572510702;0.255660446875005;1;"s__callidus";"g__Ruminococcus";"control";""
"719";"OTU_4833";-0.112891041282802;0.6261050000837;1;"s__acidifaciens";"g__Bacteroides";"control";""
"720";"OTU_5924";-0.0686391959682315;0.767510813167943;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"721";"OTU_3404";-0.191661958781704;0.405250303501239;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"723";"OTU_2290";-0.299548875432116;0.187106943569767;1;"s__guilliermondii";"g__Oscillospira";"control";""
"725";"OTU_1836";-0.0496060567328911;0.830909954715433;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"728";"OTU_4289";-0.0759243806330544;0.74359456018023;1;"s__uniformis";"g__Bacteroides";"control";""
"733";"OTU_1095";-0.0662529649712739;0.775390066659115;1;"s__bromii";"g__Ruminococcus";"control";""
"737";"OTU_7949";-0.0870829562995525;0.707405670591301;1;"s__bromii";"g__Ruminococcus";"control";""
"739";"OTU_7073";-0.0773727871585243;0.738865842207477;1;"s__parvula";"g__Veillonella";"control";""
"741";"OTU_4739";0.169556142609843;0.46247870960937;1;"s__acidifaciens";"g__Bacteroides";"control";""
"744";"OTU_867";0.011485507887838;0.960591220143079;1;"s__distasonis";"g__Parabacteroides";"control";""
"749";"OTU_2012";0.0205886633792666;0.929415096244742;1;"s__ovatus";"g__Bacteroides";"control";""
"750";"OTU_6622";-0.264489567751332;0.246617263461878;1;"s__uniformis";"g__Bacteroides";"control";""
"751";"OTU_1475";-0.158090288250016;0.49370789677979;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"752";"OTU_3096";-0.11984012117345;0.604863143859134;1;"s__massiliensis";"g__Alistipes";"control";""
"756";"OTU_6837";0.0941450964438017;0.684806516649632;1;"s__acidifaciens";"g__Bacteroides";"control";""
"757";"OTU_3139";-0.0240009543704287;0.917752043387805;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"758";"OTU_4955";-0.10484912005633;0.651047085702421;1;"s__ovatus";"g__Bacteroides";"control";""
"762";"OTU_6302";-0.0229095285383974;0.921480829926849;1;"s__uniformis";"g__Bacteroides";"control";""
"770";"OTU_4082";-0.141010179235032;0.542073510901771;1;"s__massiliensis";"g__Alistipes";"control";""
"771";"OTU_1496";-0.132636436649776;0.566549865387543;1;"s__ovatus";"g__Bacteroides";"control";""
"774";"OTU_2213";-0.0964375954002896;0.677524708422787;1;"s__massiliensis";"g__Alistipes";"control";""
"777";"OTU_1575";-0.0570966847763948;0.805815116942662;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"779";"OTU_3978";-0.20485712882997;0.373041954919837;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"780";"OTU_3605";0.426652278967494;0.0537553280288567;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"784";"OTU_3609";-0.0157323024365631;0.946037397782344;1;"s__faecis";"g__Roseburia";"control";""
"786";"OTU_6801";-0.121074399017934;0.6011215062711;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"790";"OTU_4264";-0.0336364119324072;0.884913636634;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"793";"OTU_2968";-0.062119421801752;0.789088872161107;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"797";"OTU_1788";-0.188526254534868;0.413122096278544;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"801";"OTU_3289";-0.11984212733942;0.604857054514241;1;"s__uniformis";"g__Bacteroides";"control";""
"802";"OTU_5894";-0.134968699617439;0.559684033613125;1;"s__faecis";"g__Roseburia";"control";""
"806";"OTU_7803";0.579393941682572;0.00591333403818162;0.215134124118594;"s__prausnitzii";"g__Faecalibacterium";"control";""
"807";"OTU_4911";0.397279949847683;0.0745345509436608;1;"s__dispar";"g__Veillonella";"control";""
"809";"OTU_4946";0.275715894569643;0.226377505338925;1;"s__adolescentis";"g__Bifidobacterium";"control";""
"811";"OTU_7627";-0.146929791900681;0.525068705830471;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"813";"OTU_4120";-0.0210312085669513;0.927901661539633;1;"s__bromii";"g__Ruminococcus";"control";""
"815";"OTU_6322";0.315846647578493;0.163084834948469;1;"s__faecis";"g__Roseburia";"control";""
"819";"OTU_2132";0.0437116879084032;0.850770295119833;1;"s__indistinctus";"g__Alistipes";"control";""
"821";"OTU_1657";-0.106730301004774;0.645179107245797;1;"s__uniformis";"g__Bacteroides";"control";""
"825";"OTU_1641";-0.25168092139275;0.271088549140042;1;"s__copri";"g__Prevotella";"control";""
"826";"OTU_3589";-0.194920826898619;0.397157338781898;1;"s__uniformis";"g__Bacteroides";"control";""
"830";"OTU_5346";0.130036586971215;0.574246846537797;1;"s__dispar";"g__Veillonella";"control";""
"836";"OTU_2302";0.14840216070895;0.520878488338432;1;"s__faecis";"g__Roseburia";"control";""
"837";"OTU_5459";-0.0470801650770069;0.839409203909671;1;"s__bromii";"g__Ruminococcus";"control";""
"838";"OTU_7624";-0.172752380848626;0.453957743021902;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"843";"OTU_4205";-0.0979484915548792;0.672740593454427;1;"s__massiliensis";"g__Alistipes";"control";""
"844";"OTU_6340";-0.048732987773243;0.833845696629732;1;"s__ovatus";"g__Bacteroides";"control";""
"845";"OTU_4552";-0.0184472576059885;0.93674158871463;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"858";"OTU_8175";-0.148937016597727;0.519360268667558;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"860";"OTU_5909";-0.211920516988795;0.35641849999512;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"862";"OTU_3648";-0.215913404321643;0.347214456783099;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"865";"OTU_2329";-0.156872466245827;0.497084527371522;1;"s__uniformis";"g__Bacteroides";"control";""
"866";"OTU_7937";0.141227354338461;0.541445222869319;1;"s__parvula";"g__Veillonella";"control";""
"868";"OTU_3223";-0.0785401627432273;0.735061208767622;1;"s__uniformis";"g__Bacteroides";"control";""
"869";"OTU_2044";0.399751504121578;0.0725839959575669;1;"s__ovatus";"g__Bacteroides";"control";""
"879";"OTU_2560";-0.0510507412628659;0.826056899337654;1;"s__indistinctus";"g__Alistipes";"control";""
"905";"OTU_2209";-0.0841746517176892;0.716782926069219;1;"s__massiliensis";"g__Alistipes";"control";""
"910";"OTU_5917";-0.1110492649414;0.631783936627865;1;"s__massiliensis";"g__Alistipes";"control";""
"913";"OTU_4786";0.0776701843281426;0.737896023442916;1;"s__fragilis";"g__Bacteroides";"control";""
"917";"OTU_5102";-0.10873895625338;0.638935831582463;1;"s__massiliensis";"g__Alistipes";"control";""
"925";"OTU_6949";-0.14034251439798;0.544007155772578;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"927";"OTU_4440";-0.0484037409362263;0.834953361922993;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"931";"OTU_2875";-0.0395735060962562;0.864766249053213;1;"s__bromii";"g__Ruminococcus";"control";""
"940";"OTU_3346";-0.0931559690911586;0.687956717078965;1;"s__bromii";"g__Ruminococcus";"control";""
"948";"OTU_7182";-0.0181752492602017;0.937672587943206;1;"s__fragilis";"g__Bacteroides";"control";""
"955";"OTU_5580";-0.0550151909548186;0.812771139586965;1;"s__bromii";"g__Ruminococcus";"control";""
"960";"OTU_3455";-0.245179468732488;0.28407381379712;1;"s__prausnitzii";"g__Faecalibacterium";"control";""
"965";"OTU_1668";-0.163530691830144;0.478762335388369;1;"s__uniformis";"g__Bacteroides";"control";""
